"","LC","T_MAPCODE","niaps_arc","n","km2"
"633",3,"FFd4",0,2301,0.9204
"634",4,"FFd4",0,51334,20.5336
"635",5,"FFd4",0,448754,179.5016
"636",6,"FFd4",0,3469,1.3876
"637",7,"FFd4",0,2711,1.0844
"638",1,"FFd5",0,143091,57.2364
"639",2,"FFd5",0,105854,42.3416
"640",3,"FFd5",0,4035,1.614
"641",4,"FFd5",0,860478,344.1912
"642",5,"FFd5",0,157531,63.0124
"643",6,"FFd5",0,3758,1.5032
"644",7,"FFd5",0,6763,2.7052
"645",1,"FFd6",0,107111,42.8444
"646",2,"FFd6",0,10956,4.3824
"647",3,"FFd6",0,247,0.0988
"648",4,"FFd6",0,74554,29.8216
"649",5,"FFd6",0,1571,0.6284
"650",6,"FFd6",0,154,0.0616
"651",7,"FFd6",0,692,0.2768
"652",1,"FFd7",0,260872,104.3488
"653",2,"FFd7",0,49138,19.6552
"654",3,"FFd7",0,906,0.3624
"655",4,"FFd7",0,5151,2.0604
"656",5,"FFd7",0,254899,101.9596
"657",6,"FFd7",0,159,0.0636
"658",7,"FFd7",0,857,0.3428
"659",1,"FFd8",0,99315,39.726
"660",2,"FFd8",0,19488,7.7952
"661",3,"FFd8",0,89165,35.666
"662",4,"FFd8",0,1718,0.6872
"663",5,"FFd8",0,21749,8.6996
"664",6,"FFd8",0,1342,0.5368
"665",7,"FFd8",0,113,0.0452
"666",1,"FFd9",0,623247,249.2988
"667",2,"FFd9",0,186645,74.658
"668",3,"FFd9",0,155,0.062
"669",4,"FFd9",0,13836,5.5344
"670",5,"FFd9",0,408538,163.4152
"671",6,"FFd9",0,304,0.1216
"672",7,"FFd9",0,2075,0.83
"673",1,"FFf1",0,420109,168.0436
"674",2,"FFf1",0,197539,79.0156
"675",3,"FFf1",0,4781,1.9124
"676",4,"FFf1",0,21643,8.6572
"677",5,"FFf1",0,860046,344.0184
"678",6,"FFf1",0,501,0.2004
"679",7,"FFf1",0,6772,2.7088
"680",1,"FFf2",0,41592,16.6368
"681",2,"FFf2",0,17590,7.036
"682",3,"FFf2",0,106,0.0424
"683",4,"FFf2",0,351,0.1404
"684",5,"FFf2",0,30082,12.0328
